IL,87236,39.8556,-88.9337
MI,87110,42.2431,-84.4037
FL,87103,26.6195,-81.8303
AZ,86840,33.2613,-112.3622
GA,86628,34.7690,-84.9712
TX,86276,30.6657,-96.3668
IL,86075,42.3697,-87.8716
CA,86068,33.9146,-118.3476
IN,85992,40.0891,-85.6893
CA,85925,37.5026,-122.2252
AL,85768,33.3754,-86.8064
CA,85531,33.6606,-117.6712
CA,85239,38.2976,-122.3011
CA,85098,33.9678,-118.0188
NJ,85052,40.8631,-74.1575
FL,84948,27.9088,-82.7711
MN,84943,44.8306,-93.3151
GA,84579,34.0333,-84.2027
CA,84534,33.6151,-117.8669
TX,84331,26.2041,-98.3251
CA,84196,37.4339,-121.8921
MI,84092,42.5818,-83.1457
CA,84086,36.9631,-120.0782
MO,84048,37.0758,-94.5018
CA,83853,33.9508,-117.7253
CA,83750,34.0840,-118.1355
TN,83097,35.9216,-86.8525
FL,83029,28.1085,-80.6627
MI,82970,42.9822,-82.4387
OH,82820,39.9297,-83.7957
CA,82739,37.4000,-122.0796
FL,82476,28.2408,-82.1796
FL,82180,29.8977,-81.3100
AZ,81974,35.1872,-111.6195
CA,81788,33.8572,-118.0046
CA,81777,37.6663,-121.8805
MD,81773,39.0028,-77.0207
TX,81557,29.9777,-95.1953
MI,81511,42.3192,-83.3805
WA,81464,47.3039,-122.2108
RI,81456,41.7658,-71.4857
MA,81360,42.3908,-71.1013
CA,81328,38.6668,-121.1422
AR,81125,36.1899,-94.1574
FL,81066,26.3050,-80.1277
RI,81004,41.7062,-71.4334
IL,80796,41.8445,-87.7593
MI,80612,42.4860,-83.3771
OH,80451,40.0705,-82.4251
VA,80441,37.2692,-76.7076
MN,80389,45.1112,-93.3505
MS,80138,31.3074,-89.3170
LA,80129,31.2923,-92.4702
MA,80028,42.7003,-71.1626
AL,79964,34.8303,-87.6654
GA,79820,30.8502,-83.2788
MN,79768,45.0225,-93.4618
AZ,79620,33.4314,-112.6429
TX,79604,30.6668,-97.6953
WY,79484,41.1351,-104.7900
TX,79462,30.5106,-97.8196
FL,79372,28.9021,-81.9888
IN,79351,40.4640,-86.1277
CA,79348,33.7309,-117.8106
CA,79307,33.8471,-118.1221
CA,79291,33.7899,-117.2233
MO,79161,39.7599,-94.8210
TX,79135,33.0344,-97.1146
TX,79112,26.1685,-98.1904
FL,78995,28.5818,-81.4693
IL,78905,38.9034,-90.1523
CO,78877,40.4166,-105.0623
FL,78679,26.5281,-80.0811
NY,78557,40.9305,-73.7836
SC,78512,34.5211,-82.6479
AR,78394,35.8212,-90.6791
PA,78302,40.3412,-76.4227
OH,78103,41.3843,-81.7286
UT,78014,41.0769,-111.9621
KY,78002,37.7030,-85.8770
